extract_record_id,source_id,source_row_number,source_line_number,source_row_sha256,category_raw,resolution_status
XC00001,SRC001,1,3,305d1f1492f53a431ec0951ff3379e77d3b8f9732de2586943af5bed8273717b,AI Transformation / AX Consulting,unresolved
XC00002,SRC001,2,4,62a2e485390e5b1a9cefed6f2f98218d1073169ef7ec12b33d0a1dfeabc8a4a2,AI / LLM Engineering,unresolved
XC00003,SRC001,3,5,e52e9633e532e750b345ff870be564a9429304fb99e30fdc541e8380fe360b04,Information Retrieval / Search Engineering,unresolved
XC00004,SRC001,4,6,cb5dec44f1fd593075f76e18285311912001847ee493a00a30578c1d5e70a99e,Prompt Engineering,unresolved
XC00005,SRC001,5,7,4eb4e577419af07b420a5feffe18b6dd8911631df018768282044e93987aee65,Machine Learning,unresolved
XC00006,SRC001,6,8,fcdcb0414a831f43e9ba26777c23063bc1fc4dcefda38b5fcbc4127ac506f3fd,Deep Learning,unresolved
XC00007,SRC001,7,9,4dfcf2767bbd0dc8970cb6b99b09a1d0c240fbdab5140442ad40254855933663,Generative AI,unresolved
XC00008,SRC001,8,10,50d46f0e4656554b2e358a37f0d3355b59405a41cfcd17d4bbd7c2b7e6837329,BI / Generative BI,unresolved
XC00009,SRC001,9,11,97a23278796dd2a142ba967fca876c5fbca63d49ac2892ad5d92daba72ddb9ad,BI Delivery / Portal / Embedded BI,unresolved
XC00010,SRC001,10,12,b7df227475f8c0d86280c84400b1e37b382bf768f8ee4e06d05be7f5b9427b2c,Reporting / SSRS,unresolved
XC00011,SRC001,11,13,6bd088bf8809df34af2ddf58545bf34617d85483890f7a9968375c8fb11f5d94,Computer Vision,unresolved
XC00012,SRC001,12,14,9fcc8c226e87fa6cb2348741b5031cdf71f7c48e14f76fa0b39dc88177363271,Anomaly Detection,unresolved
XC00013,SRC001,13,15,65583d1704c11b52c3fdb1de9188d487bb8fb73edc29fed2a83b3751e4437a4c,Data Engineering,unresolved
XC00014,SRC001,14,16,9fcd2307a200da6a6bac26a05e26e11cf1a867faea02878c87438b6517d932b6,Data Integration / ETL,unresolved
XC00015,SRC001,15,17,c3c78d7d3c440fe505950d0f39fdae8fd93de02b19ac935203937f5954cfdd28,Data Storage / Database,unresolved
XC00016,SRC001,16,18,e9676d187f031a00bf053e17a3617f48b6c19ed79dbe63184de9fe9c9abee57e,Data Platform / Analytics Infrastructure,unresolved
XC00017,SRC001,17,19,51f4dc86105a58e68c65edc4a554484dedcbbe782420fcff7378953c568ed2ca,Semantic Modeling / OLAP,unresolved
XC00018,SRC001,18,20,475442311c1a710164a5be800880c07c003d73eeabca979e52c718d5dd4fa6f0,Data Governance,unresolved
XC00019,SRC001,19,21,38f1b8ccaa08e13bc08ad644f771188ea18be3a02888a19ad223a609708559e1,Distributed Computing,unresolved
XC00020,SRC001,20,22,3d648ae691de36cbd1ed0f237a9862f94f2873df59ef580c2f0426e3e03ef93d,Backend Engineering,unresolved
XC00021,SRC001,21,23,a6bdefe307f661cdbdee243bb546b89601d1b4559e55828726eb9b43900029cb,Async Programming,unresolved
XC00022,SRC001,22,24,16ab70af2b6f279b6c819a7868fd3a51fa872987d64fd3d9d4c759d35db29cdc,Cloud Engineering,unresolved
XC00023,SRC001,23,25,28d00293fcdc1669acbe9c991627b3cd23812dd20456020bdf3d8053d855aed6,ERP Cloud Transformation,unresolved
XC00024,SRC001,24,26,3050fcf5efe4ca467267a44aaabbb5012cf693c161be6609b77481a56e9edf09,Cloud Operations / Technical Support,unresolved
XC00025,SRC001,25,27,a65c32935cba527f1fc271c831c0a2f00e9e9a8ddd5826b1999f013b5044ea57,MLOps,unresolved
XC00026,SRC001,26,28,3fd0d510d7ed9e709d67af2e04ab64697ba85ac3d77efd8fc6bcefc18bcef0d8,DevOps / CI/CD,unresolved
XC00027,SRC001,27,29,f953c0a3f86476d4d89b75000786395b8afaf7bba6063b39e34f4cf47bfaa9b7,Workflow Automation,unresolved
XC00028,SRC001,28,30,d21300a7565dd0deb02b67a8468b2b035488e47104e61d08250c05fcf8c10668,Enterprise Integration,unresolved
XC00029,SRC001,29,31,249cb7fcefa25d7d5b5cadd312cab410972f4c0075194d5c0d45442426b30bdc,Low-code Development,unresolved
XC00030,SRC001,30,32,47143bb97529590707566b1c7efe3b6043881f16c10c32c1317cbcf31a0ec607,Custom Low-code Extension,unresolved
XC00031,SRC001,31,33,d3e199d8af60648884764932bf9aba53a4515c42b2a992a96585f3e0c882cb8f,Conversational Application,unresolved
XC00032,SRC001,32,34,cd7863549f9ee7df53b5b135614c8c30269516e797e2fcdfe23f06a2cabfa5bc,Mixed Reality,unresolved
XC00033,SRC001,33,35,7ddff378b5734a3fe4091d3b07a891a824c53342f148171911eaee03af213ccd,Spatial Content,unresolved
XC00034,SRC001,34,36,01da724b81790644d11328ee37c3aa5bc44dee3e56376efa7f15de38496278ca,Performance Engineering,unresolved
XC00035,SRC001,35,37,a0df864f2edd08930c619478219524d7a35618ae2a3d9575f1469b4ccd59bfe7,Cost Optimization,unresolved
XC00036,SRC001,36,38,fd7cf9006122cbf596c5f56f17d261227d731ebef9004cb3806d10af44e83820,Technical R\&D,unresolved
XC00037,SRC001,37,39,1e601a6b9f7a3a5b4dbcfec03a8ea23c22488417b568fd84d1ed1ce75c592dbf,Technical Education,unresolved
XC00038,SRC001,38,40,ae19b581008872ab3803184797dae3b238f1c77e32577c8ad4dc6ff7810f8089,User-centered / Iterative Development,unresolved
XC00039,SRC001,39,41,8ce6b28860dfac722b1281f1fee87e1c5dd56e8e5777c11477e47bb59eab5694,Reliability / Human-error Prevention,unresolved
XC00040,SRC001,40,42,072d6b1bda463a134d2a336092dd0d8ebae1ff919e165351337c38d607854b78,Privacy / Enterprise Security / Data Handling,unresolved
XC00041,SRC001,41,43,352531d4fba77433b6f5d8b45f512b4bc0dda9dbbffa841c1729ae25f260ba38,Technology Partnership / Certification,unresolved
