source_technology_id,target_technology_id,relation_type,evidence_type,source_id,resolution_status
T0038,T0050,flows_to,DIRECT,SRC001,RESOLVED
T0038,T0071,flows_to,DIRECT,SRC001,RESOLVED
T0038,T0283,flows_to,DIRECT,SRC001,RESOLVED
T0038,T0303,flows_to,DIRECT,SRC001,RESOLVED
T0042,T0043,flows_to,DIRECT,SRC001,RESOLVED
T0042,T0112,flows_to,DIRECT,SRC001,RESOLVED
T0043,T0038,flows_to,DIRECT,SRC001,RESOLVED
T0043,T0127,flows_to,DIRECT,SRC001,RESOLVED
T0043,T0351,flows_to,DIRECT,SRC001,RESOLVED
T0050,T0071,flows_to,DIRECT,SRC001,RESOLVED
T0050,T0411,flows_to,DIRECT,SRC001,RESOLVED
T0050,T0437,flows_to,DIRECT,SRC001,RESOLVED
T0071,T0295,flows_to,DIRECT,SRC001,RESOLVED
T0071,T0300,flows_to,DIRECT,SRC001,RESOLVED
T0071,T0411,flows_to,DIRECT,SRC001,RESOLVED
T0071,T0437,flows_to,DIRECT,SRC001,RESOLVED
T0112,T0038,flows_to,DIRECT,SRC001,RESOLVED
T0112,T0127,flows_to,DIRECT,SRC001,RESOLVED
T0112,T0351,flows_to,DIRECT,SRC001,RESOLVED
T0127,T0050,flows_to,DIRECT,SRC001,RESOLVED
T0127,T0071,flows_to,DIRECT,SRC001,RESOLVED
T0127,T0283,flows_to,DIRECT,SRC001,RESOLVED
T0127,T0303,flows_to,DIRECT,SRC001,RESOLVED
T0149,T0283,flows_to,DIRECT,SRC001,RESOLVED
T0149,T0303,flows_to,DIRECT,SRC001,RESOLVED
T0283,T0071,flows_to,DIRECT,SRC001,RESOLVED
T0283,T0303,flows_to,DIRECT,SRC001,RESOLVED
T0283,T0411,flows_to,DIRECT,SRC001,RESOLVED
T0283,T0437,flows_to,DIRECT,SRC001,RESOLVED
T0295,T0300,flows_to,DIRECT,SRC001,RESOLVED
T0300,T0303,flows_to,DIRECT,SRC001,RESOLVED
T0303,T0050,flows_to,DIRECT,SRC001,RESOLVED
T0303,T0071,flows_to,DIRECT,SRC001,RESOLVED
T0303,T0411,flows_to,DIRECT,SRC001,RESOLVED
T0303,T0437,flows_to,DIRECT,SRC001,RESOLVED
T0351,T0050,flows_to,DIRECT,SRC001,RESOLVED
T0351,T0071,flows_to,DIRECT,SRC001,RESOLVED
T0351,T0283,flows_to,DIRECT,SRC001,RESOLVED
T0351,T0303,flows_to,DIRECT,SRC001,RESOLVED
T0411,T0295,flows_to,DIRECT,SRC001,RESOLVED
T0411,T0300,flows_to,DIRECT,SRC001,RESOLVED
T0437,T0295,flows_to,DIRECT,SRC001,RESOLVED
T0437,T0300,flows_to,DIRECT,SRC001,RESOLVED
